observation_id,fixture_id,condition,framing,complexity,expected,generated_classification,logit_classification,logit_correct,pass,parsed,raw_a_logit,raw_b_logit,processed_a_logit,processed_b_logit,raw_ab_margin,decision_margin,prompt_token_count,prompt_char_count,response_token_count,explicit,high,interaction,prompt_tokens_centered,position_centered,position_within_fixture,evaluation_order,model,run_id,seed,prompt_sha256
RESCS1-029:NH,RESCS1-029,NH,NEUTRAL,HIGH,B,A,A,0,0,1,35.5,31.125,35.5,31.125,4.375,-4.375,234,948,1,0,1,0,0.34,-0.5,1,13,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,514f9f89c820574e7c80e44f137c2ee5aa7e5468d597300bea17244d0ddaf1c6
RESCS1-029:NL,RESCS1-029,NL,NEUTRAL,LOW,B,A,A,0,0,1,35.5,32.5,35.5,32.5,3.0,-3.0,216,871,1,0,0,0,0.16,0.5,2,14,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,5e95cbb6de32e107b3fe3f9f79b8757002f333880a9a3560d0fb8e8cfd09aa27
RESCS1-029:EL,RESCS1-029,EL,EXPLICIT,LOW,B,A,A,0,0,1,33.5,32.25,33.5,32.25,1.25,-1.25,222,859,3,1,0,0,0.22,1.5,3,15,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,2c4358320ae1c7bc5ba551446088c55685204f83c16b1029d9880db96cd36945
RESCS1-050:NH,RESCS1-050,NH,NEUTRAL,HIGH,B,A,A,0,0,1,33.0,30.25,33.0,30.25,2.75,-2.75,234,949,1,0,1,0,0.34,-1.5,0,16,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,f0a892fcebadba68568db8713d05995cbd09e5fbea2f9119239972b8c2193876
RESCS1-050:EL,RESCS1-050,EL,EXPLICIT,LOW,B,A,A,0,0,1,34.0,27.0,34.0,27.0,7.0,-7.0,222,860,1,1,0,0,0.22,-0.5,1,17,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,f8fa63c3cc3ac0e7dee5fbc6f3b0f929ccfd05ea284f3bacf06d600c03b7be95
RESCS1-050:NL,RESCS1-050,NL,NEUTRAL,LOW,B,A,A,0,0,1,33.0,29.0,33.0,29.0,4.0,-4.0,216,872,1,0,0,0,0.16,0.5,2,18,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,c6c067cfa4cbb897195b2defbbb2d3e6d89d116ba2671f30b1d5d5d832a9c8c5
RESCS1-050:EH,RESCS1-050,EH,EXPLICIT,HIGH,B,B,B,1,1,1,32.25,33.0,32.25,33.0,-0.75,0.75,249,933,1,1,1,1,0.49,1.5,3,19,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,0a9f180de8cf4fe7fde3b2bb4696674fe18e132e6c8a34adfadb21279e57f85a
RESCS1-042:EL,RESCS1-042,EL,EXPLICIT,LOW,A,B,B,0,0,1,28.75,29.75,28.75,29.75,-1.0,-1.0,224,858,3,1,0,0,0.24,-1.5,0,20,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,7b924958ab6520f06dd125fecbaf9e3ab1d19c132eafb552e52c11dcc1901136
RESCS1-042:NL,RESCS1-042,NL,NEUTRAL,LOW,A,B,A,1,0,1,30.5,30.5,30.5,30.5,0.0,0.0,217,870,3,0,0,0,0.17,-0.5,1,21,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,08ffda1917e57c36059fa9c6d989dc63726967e045e4c34c01a831cdc8b078ac
RESCS1-042:EH,RESCS1-042,EH,EXPLICIT,HIGH,A,A,A,1,1,1,33.0,30.125,33.0,30.125,2.875,2.875,252,930,1,1,1,1,0.52,0.5,2,22,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,283d3edb12ce0bb80f97e8af5527980579e28a6d73fb8fae976e72cbb4b37f26
RESCS1-042:NH,RESCS1-042,NH,NEUTRAL,HIGH,A,B,A,1,0,1,31.25,30.625,31.25,30.625,0.625,0.625,237,946,3,0,1,0,0.37,1.5,3,23,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,e475c18629d0c2659660fed5572f97984fba31f0e3cef7d9896874dcb9926d3b
RESCS1-016:NL,RESCS1-016,NL,NEUTRAL,LOW,B,B,B,1,1,1,35.0,35.75,35.0,35.75,-0.75,0.75,216,869,1,0,0,0,0.16,-1.5,0,24,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,15673eb94645521f336d79f25eb8fae52159efc42ba59d32186b4af4abb7d14a
RESCS1-016:EH,RESCS1-016,EH,EXPLICIT,HIGH,B,B,B,1,1,1,29.75,36.75,29.75,36.75,-7.0,7.0,249,930,1,1,1,1,0.49,-0.5,1,25,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,9308a3974357e470ce6ced364e7ae14948853c8f0d4b77af39144a3e1be45ccc
RESCS1-016:NH,RESCS1-016,NH,NEUTRAL,HIGH,B,B,B,1,1,1,34.75,36.25,34.75,36.25,-1.5,1.5,234,946,1,0,1,0,0.34,0.5,2,26,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,8cdfed5bda92c1819233413ca954d5d04cbbae97c7c0bcad2e4a5e49ec103702
RESCS1-016:EL,RESCS1-016,EL,EXPLICIT,LOW,B,B,B,1,1,1,32.25,37.25,32.25,37.25,-5.0,5.0,222,857,1,1,0,0,0.22,1.5,3,27,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,5d7b2ee413d47cae31af0d7a2d94104251d02f91056958a549c14ea381a3d35e
RESCS1-018:EH,RESCS1-018,EH,EXPLICIT,HIGH,B,A,A,0,0,1,34.75,31.25,34.75,31.25,3.5,-3.5,249,930,1,1,1,1,0.49,-1.5,0,28,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,5fb0e92f5826046e91a5d97e6d2ec66c28c466d9f07bd2773aad7eb31e229a1f
RESCS1-018:NH,RESCS1-018,NH,NEUTRAL,HIGH,B,A,A,0,0,1,33.25,31.5,33.25,31.5,1.75,-1.75,234,946,1,0,1,0,0.34,-0.5,1,29,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,382dacec2c00be08c83b0d1d4ad266e028d320b0beb9dd42d28ab09466c7c09a
RESCS1-018:EL,RESCS1-018,EL,EXPLICIT,LOW,B,A,A,0,0,1,35.25,28.875,35.25,28.875,6.375,-6.375,222,857,1,1,0,0,0.22,0.5,2,30,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,afe7717f10465541bdade469c29f9949fa47e2e65c0f52c3868bfe345c49f05a
RESCS1-018:NL,RESCS1-018,NL,NEUTRAL,LOW,B,A,A,0,0,1,32.25,30.375,32.25,30.375,1.875,-1.875,216,869,1,0,0,0,0.16,1.5,3,31,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,efa73f4f118f1296631851c658bf9a3165ec959e5d4e4ef5ef5cb9595815ecc4
RESCS1-063:NL,RESCS1-063,NL,NEUTRAL,LOW,B,B,A,0,1,1,26.0,25.625,26.0,25.625,0.375,-0.375,216,882,3,0,0,0,0.16,-1.5,0,32,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,1355442dfa984a6524b519e56d5c894297ec22cd71099ba3d5ab6b2eb1dbc176
RESCS1-063:EL,RESCS1-063,EL,EXPLICIT,LOW,B,B,B,1,1,1,25.0,26.625,25.0,26.625,-1.625,1.625,222,870,3,1,0,0,0.22,-0.5,1,33,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,c19860669faf5118f4dae614eea5f7c843291b3f00d03d23747eb8f03a91d7bd
RESCS1-063:EH,RESCS1-063,EH,EXPLICIT,HIGH,B,B,A,0,1,1,29.125,28.625,29.125,28.625,0.5,-0.5,249,943,3,1,1,1,0.49,0.5,2,34,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,47a131609d3d0601fcb05bdcb29a63738a721d39b50bff60aaa19bfb3ead6166
RESCS1-063:NH,RESCS1-063,NH,NEUTRAL,HIGH,B,B,B,1,1,1,24.125,25.625,24.125,25.625,-1.5,1.5,234,959,3,0,1,0,0.34,1.5,3,35,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,5ed8a5c4ca83c77f376ee3bf06b9641b15bd9bcdb4d63fa41f6acfb1e5660aca
RESCS1-025:EL,RESCS1-025,EL,EXPLICIT,LOW,A,A,A,1,1,1,33.25,32.25,33.25,32.25,1.0,1.0,222,855,3,1,0,0,0.22,-1.5,0,36,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,ec4e82caefb294313a29c30541c23004dcb1e0462d46c68ce61d55fb645ff36d
RESCS1-025:EH,RESCS1-025,EH,EXPLICIT,HIGH,A,A,A,1,1,1,36.75,31.625,36.75,31.625,5.125,5.125,249,928,1,1,1,1,0.49,-0.5,1,37,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,bc2e8320902e709a1a6e5a1548eea85e3f67832118570a9c75219e98a9652b36
RESCS1-025:NH,RESCS1-025,NH,NEUTRAL,HIGH,A,B,A,1,0,1,31.5,30.375,31.5,30.375,1.125,1.125,234,944,3,0,1,0,0.34,0.5,2,38,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,f7658c333232a09d30cf6dd179cebcbf2c80da11481799d20a681daa40e3fda9
RESCS1-025:NL,RESCS1-025,NL,NEUTRAL,LOW,A,B,A,1,0,1,34.25,32.25,34.25,32.25,2.0,2.0,216,867,3,0,0,0,0.16,1.5,3,39,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,21467d014eee5f60bce70978f4e56e554363da4d0b997d882ad9b8b93f08cf57
RESCS1-006:EH,RESCS1-006,EH,EXPLICIT,HIGH,A,B,B,0,0,1,24.75,35.75,24.75,35.75,-11.0,-11.0,252,927,1,1,1,1,0.52,-1.5,0,40,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,3bec123b822657fde370e481972ba8db7f0b5c3b8331666167ca935a252b9ff3
RESCS1-006:NH,RESCS1-006,NH,NEUTRAL,HIGH,A,B,B,0,0,1,23.25,35.5,23.25,35.5,-12.25,-12.25,237,943,1,0,1,0,0.37,-0.5,1,41,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,ce4a5ffdb10f68f990ffd1c38cdc8b422ac4925691af1421aa29d16649102c0a
RESCS1-006:NL,RESCS1-006,NL,NEUTRAL,LOW,A,B,B,0,0,1,23.375,36.75,23.375,36.75,-13.375,-13.375,217,867,1,0,0,0,0.17,0.5,2,42,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,497bce36e6e1f02f32035f3a3d9135274643ef786c4a2484e85246234fc2a257
RESCS1-006:EL,RESCS1-006,EL,EXPLICIT,LOW,A,B,B,0,0,1,23.5,37.25,23.5,37.25,-13.75,-13.75,224,855,1,1,0,0,0.24,1.5,3,43,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,df01e7b02a34d49b465c188546e9c85350e17ed709413fb1462739d7676f96ff
RESCS1-021:NH,RESCS1-021,NH,NEUTRAL,HIGH,A,B,B,0,0,1,34.0,34.25,34.0,34.25,-0.25,-0.25,234,948,1,0,1,0,0.34,-1.5,0,44,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,86ead98efa88889fe28bc9649bc9291f8f73011f8d7709551612cc21bc1a701e
RESCS1-021:NL,RESCS1-021,NL,NEUTRAL,LOW,A,A,A,1,1,1,34.75,34.75,34.75,34.75,0.0,0.0,216,871,1,0,0,0,0.16,-0.5,1,45,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,272862f18d155f233339baed2f2fc7605a331f18e4a5a28ae250c11060dd7b1d
RESCS1-021:EL,RESCS1-021,EL,EXPLICIT,LOW,A,B,B,0,0,1,33.0,35.25,33.0,35.25,-2.25,-2.25,222,859,1,1,0,0,0.22,0.5,2,46,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a07982e453381d1ddf054357b7f66c8cca510e908e13bcaeb9ecb4eca656de24
RESCS1-021:EH,RESCS1-021,EH,EXPLICIT,HIGH,A,B,B,0,0,1,30.75,35.0,30.75,35.0,-4.25,-4.25,249,932,1,1,1,1,0.49,1.5,3,47,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,faf52bdfd54e593ced8f3a8b587bda7b8db9cf8d2c209ac2f0d8e48ba62041ee
RESCS1-051:NH,RESCS1-051,NH,NEUTRAL,HIGH,B,B,B,1,1,1,24.25,34.75,24.25,34.75,-10.5,10.5,234,939,1,0,1,0,0.34,-1.5,0,48,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,0d2647e20cb3e0e256b727299c772074ea0b96a0d0045f889919c5e3b021385a
RESCS1-051:EL,RESCS1-051,EL,EXPLICIT,LOW,B,B,B,1,1,1,24.0,35.5,24.0,35.5,-11.5,11.5,222,850,1,1,0,0,0.22,-0.5,1,49,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,fd9a63e6c96c70f71aadeaf903bf361183553ba3a481d1cd5028518c20331ae3
RESCS1-051:NL,RESCS1-051,NL,NEUTRAL,LOW,B,B,B,1,1,1,23.625,35.75,23.625,35.75,-12.125,12.125,216,862,1,0,0,0,0.16,0.5,2,50,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,f0416bbe331295c3901941d251d3c8ee91441080ec1df99d2cca5066b9cdde0e
RESCS1-051:EH,RESCS1-051,EH,EXPLICIT,HIGH,B,B,B,1,1,1,22.25,34.75,22.25,34.75,-12.5,12.5,249,923,1,1,1,1,0.49,1.5,3,51,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,2c69f6dac1075b85d7dd0dd44d7a3422a16b1c95a6c785356789d12b0140cb23
RESCS1-061:EL,RESCS1-061,EL,EXPLICIT,LOW,B,B,A,0,1,1,32.75,31.25,32.75,31.25,1.5,-1.5,222,862,3,1,0,0,0.22,-1.5,0,52,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,46906244b0324f6c2c3aa554bbd35043a17bab4093ac07ac9d158697a3e92a73
RESCS1-061:NL,RESCS1-061,NL,NEUTRAL,LOW,B,A,A,0,0,1,34.25,31.5,34.25,31.5,2.75,-2.75,216,874,1,0,0,0,0.16,-0.5,1,53,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,5d71322986923bc694864094e2b7cce0555cce104ec74c30c5784a25319b0206
RESCS1-061:EH,RESCS1-061,EH,EXPLICIT,HIGH,B,A,A,0,0,1,36.5,31.375,36.5,31.375,5.125,-5.125,249,935,1,1,1,1,0.49,0.5,2,54,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,04ed5ef936baadcf69e10fac02a7de896cdb348400181a5f78f0208bbc34f5d1
RESCS1-061:NH,RESCS1-061,NH,NEUTRAL,HIGH,B,,A,0,0,0,32.25,30.375,32.25,30.375,1.875,-1.875,234,951,4,0,1,0,0.34,1.5,3,55,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,96c723ce7c94acbec1b4ddbb80bf6be7eb5c38e6878ee5150cf771a0efa03de5
RESCS1-038:NL,RESCS1-038,NL,NEUTRAL,LOW,A,B,B,0,0,1,21.375,36.0,21.375,36.0,-14.625,-14.625,217,870,1,0,0,0,0.17,-1.5,0,56,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,b59903b0bef799289f178610551c55476ab84b43a062fa81fa938674e8c311ec
RESCS1-038:EH,RESCS1-038,EH,EXPLICIT,HIGH,A,B,B,0,0,1,22.5,35.75,22.5,35.75,-13.25,-13.25,252,930,1,1,1,1,0.52,-0.5,1,57,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,d0e61bdff64ab1d5a6eda29fa32d4d39353cf4f722ae9974b84f2ddd2cae58a6
RESCS1-038:NH,RESCS1-038,NH,NEUTRAL,HIGH,A,B,B,0,0,1,21.625,35.25,21.625,35.25,-13.625,-13.625,237,946,1,0,1,0,0.37,0.5,2,58,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,837df3edaeedb77bd552eab3325462f925619ea4eefc18d3df204a6b5fcfca6a
RESCS1-038:EL,RESCS1-038,EL,EXPLICIT,LOW,A,B,B,0,0,1,22.5,36.75,22.5,36.75,-14.25,-14.25,224,858,1,1,0,0,0.24,1.5,3,59,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,b06de05369d397e6f7a0655c64272b39b074bfb45ccbeeaf5853732b2c18b522
RESCS1-045:EH,RESCS1-045,EH,EXPLICIT,HIGH,B,A,A,0,0,1,36.25,33.25,36.25,33.25,3.0,-3.0,252,932,1,1,1,1,0.52,-1.5,0,60,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,f5007129214f7b2501218ba9a5a836207300558804e007d5862fb29f70a96ef6
RESCS1-045:NH,RESCS1-045,NH,NEUTRAL,HIGH,B,A,A,0,0,1,34.0,32.75,34.0,32.75,1.25,-1.25,237,948,1,0,1,0,0.37,-0.5,1,61,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,0693998abfb6a7966d56195444f5cc4de4afa090db69e3f6a5f317db1109c213
RESCS1-045:EL,RESCS1-045,EL,EXPLICIT,LOW,B,A,A,0,0,1,34.5,33.25,34.5,33.25,1.25,-1.25,224,860,3,1,0,0,0.24,0.5,2,62,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,1bcecc32ecc7c827173df05438aee9e68a7866ed42c908eb2793e41ed10f1be3
RESCS1-045:NL,RESCS1-045,NL,NEUTRAL,LOW,B,A,A,0,0,1,34.75,33.25,34.75,33.25,1.5,-1.5,217,872,1,0,0,0,0.17,1.5,3,63,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,e4bc99e2e78aa5f35b1eaf9a21f6ee2a92b514eb1a19990985981fc24adb5316
RESCS1-057:NH,RESCS1-057,NH,NEUTRAL,HIGH,A,A,A,1,1,1,34.25,31.375,34.25,31.375,2.875,2.875,234,947,1,0,1,0,0.34,-1.5,0,64,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,7ff2a9845446aa14d7e1bd859659880fa2f79783cd9d124ec3afa682aac84909
RESCS1-057:NL,RESCS1-057,NL,NEUTRAL,LOW,A,A,A,1,1,1,33.75,32.5,33.75,32.5,1.25,1.25,216,870,3,0,0,0,0.16,-0.5,1,65,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,075495c19e470a42e2340600a3d0b656216df8fef93349de2f8a18a625ff5721
RESCS1-057:EH,RESCS1-057,EH,EXPLICIT,HIGH,A,A,A,1,1,1,36.0,33.0,36.0,33.0,3.0,3.0,249,931,1,1,1,1,0.49,0.5,2,66,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,d1395271b77ebb45503cce7074ac40ce8a12dd967f84f463bb297677779043ec
RESCS1-057:EL,RESCS1-057,EL,EXPLICIT,LOW,A,A,B,0,1,1,31.125,32.0,31.125,32.0,-0.875,-0.875,222,858,3,1,0,0,0.22,1.5,3,67,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,2383ba016e587b0f026e91ed4943f1eb409d2f03e7423722d67191894f74a8c8
RESCS1-048:NL,RESCS1-048,NL,NEUTRAL,LOW,B,A,A,0,0,1,36.5,31.25,36.5,31.25,5.25,-5.25,216,872,1,0,0,0,0.16,-1.5,0,68,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a13da0d2531bc86c3245877761fc8ba8532f77b7fe3723f3c49283bd7ed87510
RESCS1-048:EH,RESCS1-048,EH,EXPLICIT,HIGH,B,A,A,0,0,1,33.5,33.0,33.5,33.0,0.5,-0.5,249,933,1,1,1,1,0.49,-0.5,1,69,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,7f657426312def8082261f4baa5d6e4e05eabc066961f9476dae43f7b63ceb62
RESCS1-048:EL,RESCS1-048,EL,EXPLICIT,LOW,B,A,A,0,0,1,35.5,32.5,35.5,32.5,3.0,-3.0,222,860,1,1,0,0,0.22,0.5,2,70,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a01ee9d5367d2aaf0d40f82d5c2fb6c516cde9a9e2eadc5bc25064a155c49e4f
RESCS1-048:NH,RESCS1-048,NH,NEUTRAL,HIGH,B,A,A,0,0,1,35.25,31.625,35.25,31.625,3.625,-3.625,234,949,1,0,1,0,0.34,1.5,3,71,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,b8fc4acd49e007fbd88b2487fb576a1fd514b248901f81f7ec85e80726bfc21c
RESCS1-035:EH,RESCS1-035,EH,EXPLICIT,HIGH,B,B,B,1,1,1,23.0,33.75,23.0,33.75,-10.75,10.75,252,920,1,1,1,1,0.52,-1.5,0,72,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,8ba949ae572bfe6a98ac7d7f9e908a6a6b4a70002f4c10cd79582326b7173d78
RESCS1-035:EL,RESCS1-035,EL,EXPLICIT,LOW,B,B,B,1,1,1,24.5,35.5,24.5,35.5,-11.0,11.0,224,848,1,1,0,0,0.24,-0.5,1,73,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,714cdda4f418e0639c704413027d50cee87fd2cb5f2837dff39c3fc3d214d4f1
RESCS1-035:NH,RESCS1-035,NH,NEUTRAL,HIGH,B,B,B,1,1,1,24.5,34.5,24.5,34.5,-10.0,10.0,237,936,1,0,1,0,0.37,0.5,2,74,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,d76e6709188da1b90455a9f48a73e187baaf9a7fa3eaded7b7b0bcb18ae760fa
RESCS1-035:NL,RESCS1-035,NL,NEUTRAL,LOW,B,B,B,1,1,1,24.25,35.25,24.25,35.25,-11.0,11.0,217,860,1,0,0,0,0.17,1.5,3,75,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a5b048c123626dc1e5e2ef0655b4fcc8de6088c5a2ccac05893a5e453771007e
RESCS1-024:EL,RESCS1-024,EL,EXPLICIT,LOW,A,A,A,1,1,1,33.25,32.0,33.25,32.0,1.25,1.25,222,857,3,1,0,0,0.22,-1.5,0,76,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a72a335aef3d1d142c427102d0941ddf1dd6cf40d7fc43805dbc6ff1b72c8bb5
RESCS1-024:NH,RESCS1-024,NH,NEUTRAL,HIGH,A,B,A,1,0,1,32.75,31.375,32.75,31.375,1.375,1.375,234,946,3,0,1,0,0.34,-0.5,1,77,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,124398f565d3f3b5a1a9064a896b533ed2aa3c95c15cec19270482ce05c0f125
RESCS1-024:NL,RESCS1-024,NL,NEUTRAL,LOW,A,B,A,1,0,1,35.0,32.25,35.0,32.25,2.75,2.75,216,869,3,0,0,0,0.16,0.5,2,78,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,168aee38fd6933d4cedffd917874be355fcce661be904adda2eb4717c0b06020
RESCS1-024:EH,RESCS1-024,EH,EXPLICIT,HIGH,A,A,A,1,1,1,37.0,31.75,37.0,31.75,5.25,5.25,249,930,1,1,1,1,0.49,1.5,3,79,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,996fcb1a6170478e5b4e539c26f3b551d9ba48436fa6dd1a0ac7c94a09c9e689
